url,title,topic,market,linked_money_page,business_relevance,current_status,proposed_action,reason,risk,needs_gsc_validation
/blog/ataque-real-en-npm-como-el-compromiso-de-axios-expuso-miles-de-entornos-sin-que-nadie-lo-notara/,Ataque real en NPM: cómo el compromiso de Axios expuso miles de entornos sin que nadie lo notara,security,global,/{pais}/sistema-crecimiento-digital/,indirecta,published_indexable,MANUAL_REVIEW,"Tema de seguridad útil, pero fuera del núcleo comercial; validar histórico antes de cambiar.",medium,yes
/mx/blog/ataque-real-en-npm-como-el-compromiso-de-axios-expuso-miles-de-entornos-sin-que-nadie-lo-notara/,Ataque real en NPM: cómo el compromiso de Axios expuso miles de entornos sin que nadie lo notara,security,mx,/mx/sistema-crecimiento-digital/,indirecta,published_indexable,MANUAL_REVIEW,"Tema de seguridad útil, pero fuera del núcleo comercial; validar histórico antes de cambiar.",medium,yes
/ar/blog/ataque-real-en-npm-como-el-compromiso-de-axios-expuso-miles-de-entornos-sin-que-nadie-lo-notara/,Ataque real en NPM: cómo el compromiso de Axios expuso miles de entornos sin que nadie lo notara,security,ar,/ar/sistema-crecimiento-digital/,indirecta,published_indexable,MANUAL_REVIEW,"Tema de seguridad útil, pero fuera del núcleo comercial; validar histórico antes de cambiar.",medium,yes
/es/blog/ataque-real-en-npm-como-el-compromiso-de-axios-expuso-miles-de-entornos-sin-que-nadie-lo-notara/,Ataque real en NPM: cómo el compromiso de Axios expuso miles de entornos sin que nadie lo notara,security,es,/es/sistema-crecimiento-digital/,indirecta,published_indexable,MANUAL_REVIEW,"Tema de seguridad útil, pero fuera del núcleo comercial; validar histórico antes de cambiar.",medium,yes
/blog/matriz-objetivo-icp-canal-lead-magnet-pagina-evento-de-conversion-metricas/,Matriz Objetivo / ICP / Canal / Lead Magnet / Página / Evento de Conversión / Métricas,analytics-conversion,global,/{pais}/soluciones/analitica-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/matriz-objetivo-icp-canal-lead-magnet-pagina-evento-de-conversion-metricas/,Matriz Objetivo / ICP / Canal / Lead Magnet / Página / Evento de Conversión / Métricas,analytics-conversion,mx,/mx/soluciones/analitica-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/matriz-objetivo-icp-canal-lead-magnet-pagina-evento-de-conversion-metricas/,Matriz Objetivo / ICP / Canal / Lead Magnet / Página / Evento de Conversión / Métricas,analytics-conversion,ar,/ar/soluciones/analitica-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/matriz-objetivo-icp-canal-lead-magnet-pagina-evento-de-conversion-metricas/,Matriz Objetivo / ICP / Canal / Lead Magnet / Página / Evento de Conversión / Métricas,analytics-conversion,es,/es/soluciones/analitica-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/blog/por-que-un-sitio-wordpress-no-puede-quedar-librado-a-la-suerte-y-como-evitar-dolores-de-cabeza-despues/,Por qué un sitio WordPress no puede quedar librado a la suerte (y cómo evitar dolores de cabeza después),wordpress,global,/{pais}/soluciones/optimizacion-wordpress/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/por-que-un-sitio-wordpress-no-puede-quedar-librado-a-la-suerte-y-como-evitar-dolores-de-cabeza-despues/,Por qué un sitio WordPress no puede quedar librado a la suerte (y cómo evitar dolores de cabeza después),wordpress,mx,/mx/soluciones/optimizacion-wordpress/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/por-que-un-sitio-wordpress-no-puede-quedar-librado-a-la-suerte-y-como-evitar-dolores-de-cabeza-despues/,Por qué un sitio WordPress no puede quedar librado a la suerte (y cómo evitar dolores de cabeza después),wordpress,ar,/ar/soluciones/optimizacion-wordpress/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/por-que-un-sitio-wordpress-no-puede-quedar-librado-a-la-suerte-y-como-evitar-dolores-de-cabeza-despues/,Por qué un sitio WordPress no puede quedar librado a la suerte (y cómo evitar dolores de cabeza después),wordpress,es,/es/soluciones/optimizacion-wordpress/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/blog/como-una-buena-automatizacion-puede-cambiar-por-completo-el-flujo-de-trabajo-de-tu-empresa/,Cómo una buena automatización puede cambiar por completo el flujo de trabajo de tu empresa,automation,global,/{pais}/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/como-una-buena-automatizacion-puede-cambiar-por-completo-el-flujo-de-trabajo-de-tu-empresa/,Cómo una buena automatización puede cambiar por completo el flujo de trabajo de tu empresa,automation,mx,/mx/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/como-una-buena-automatizacion-puede-cambiar-por-completo-el-flujo-de-trabajo-de-tu-empresa/,Cómo una buena automatización puede cambiar por completo el flujo de trabajo de tu empresa,automation,ar,/ar/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/como-una-buena-automatizacion-puede-cambiar-por-completo-el-flujo-de-trabajo-de-tu-empresa/,Cómo una buena automatización puede cambiar por completo el flujo de trabajo de tu empresa,automation,es,/es/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/blog/por-que-geeksy-shop-es-hoy-una-de-las-mejores-fuentes-para-comprar-productos-del-fandom-y-como-aprovecharlo-desde-pixvo-tech/,Por qué Geeksy.shop es hoy una de las mejores fuentes para comprar productos del fandom,seo-content,global,/{pais}/soluciones/seo-para-pymes/,baja,published_indexable,MANUAL_REVIEW,La pieza sobre una tienda externa queda lejos del posicionamiento actual.,high,yes
/mx/blog/por-que-geeksy-shop-es-hoy-una-de-las-mejores-fuentes-para-comprar-productos-del-fandom-y-como-aprovecharlo-desde-pixvo-tech/,Por qué Geeksy.shop es hoy una de las mejores fuentes para comprar productos del fandom,seo-content,mx,/mx/soluciones/seo-para-pymes/,baja,published_indexable,MANUAL_REVIEW,La pieza sobre una tienda externa queda lejos del posicionamiento actual.,high,yes
