url,country,cluster,primary_keyword,secondary_keywords,intent,funnel,page_type,priority,conversion,parent_url,status,ownership_key,indexability,title,h1
/,global,brand,Pixvo mercados,Pixvo Growth System; México; Argentina; España,navigational,BOFU,market_selector,P1,market selection,,published,market-selector,"index,follow",Pixvo | Elige tu mercado,Pixvo Growth System
/mx/,mx,brand,Pixvo,SEO automatización y analítica; crecimiento para PyMEs,branded commercial,BOFU,home,P1,diagnosis,/,published,market-home,"index,follow","Pixvo | SEO, automatización y crecimiento para PyMEs — México","Pixvo: SEO, automatización y analítica para PyMEs"
/ar/,ar,brand,Pixvo,SEO automatización y analítica; crecimiento para PyMEs,branded commercial,BOFU,home,P1,diagnosis,/,published,market-home,"index,follow","Pixvo | SEO, automatización y crecimiento para PyMEs — Argentina","Pixvo: SEO, automatización y analítica para PyMEs"
/es/,es,brand,Pixvo,SEO automatización y analítica; crecimiento para PyMEs,branded commercial,BOFU,home,P1,diagnosis,/,published,market-home,"index,follow","Pixvo | SEO, automatización y crecimiento para PyMEs — España","Pixvo: SEO, automatización y analítica para PyMEs"
/mx/sistema-crecimiento-digital/,mx,growth-system,sistema de crecimiento digital para PyMEs,sistema de crecimiento para empresas; consultoría de crecimiento digital; estrategia de crecimiento digital; SEO y automatización para PyMEs; sistema de captación digital,commercial,MOFU/BOFU,commercial_hub,P1,diagnosis,/mx/,published,growth-system,"index,follow",Sistema de crecimiento digital para PyMEs | Pixvo — México,Sistema de crecimiento digital para PyMEs
/ar/sistema-crecimiento-digital/,ar,growth-system,sistema de crecimiento digital para PyMEs,sistema de crecimiento para empresas; consultoría de crecimiento digital; estrategia de crecimiento digital; SEO y automatización para PyMEs; sistema de captación digital,commercial,MOFU/BOFU,commercial_hub,P1,diagnosis,/ar/,published,growth-system,"index,follow",Sistema de crecimiento digital para PyMEs | Pixvo — Argentina,Sistema de crecimiento digital para PyMEs
/es/sistema-crecimiento-digital/,es,growth-system,sistema de crecimiento digital para PyMEs,sistema de crecimiento para empresas; consultoría de crecimiento digital; estrategia de crecimiento digital; SEO y automatización para PyMEs; sistema de captación digital,commercial,MOFU/BOFU,commercial_hub,P1,diagnosis,/es/,published,growth-system,"index,follow",Sistema de crecimiento digital para PyMEs | Pixvo — España,Sistema de crecimiento digital para PyMEs
/mx/planes/,mx,conversion,precios Pixvo Growth System,planes de crecimiento digital; precio SEO para PyMEs,transactional,BOFU,pricing,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,plans,"index,follow",Planes y precios de Pixvo Growth System — México,Planes y precios de Pixvo Growth System
/ar/planes/,ar,conversion,precios Pixvo Growth System,planes de crecimiento digital; precio SEO para PyMEs,transactional,BOFU,pricing,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,plans,"index,follow",Planes y precios de Pixvo Growth System — Argentina,Planes y precios de Pixvo Growth System
/es/planes/,es,conversion,precios Pixvo Growth System,planes de crecimiento digital; precio SEO para PyMEs,transactional,BOFU,pricing,P1,diagnosis,/es/sistema-crecimiento-digital/,published,plans,"index,follow",Planes y precios de Pixvo Growth System — España,Planes y precios de Pixvo Growth System
/mx/auditoria-crecimiento-digital/,mx,conversion,auditoría de crecimiento digital,auditoría SEO y conversión; auditoría de marketing digital,transactional,BOFU,audit,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,audit,"index,follow","Auditoría de crecimiento digital, SEO y conversión | Pixvo — México","Auditoría de crecimiento digital, SEO y conversión"
/ar/auditoria-crecimiento-digital/,ar,conversion,auditoría de crecimiento digital,auditoría SEO y conversión; auditoría de marketing digital,transactional,BOFU,audit,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,audit,"index,follow","Auditoría de crecimiento digital, SEO y conversión | Pixvo — Argentina","Auditoría de crecimiento digital, SEO y conversión"
/es/auditoria-crecimiento-digital/,es,conversion,auditoría de crecimiento digital,auditoría SEO y conversión; auditoría de marketing digital,transactional,BOFU,audit,P1,diagnosis,/es/sistema-crecimiento-digital/,published,audit,"index,follow","Auditoría de crecimiento digital, SEO y conversión | Pixvo — España","Auditoría de crecimiento digital, SEO y conversión"
/mx/solicitar-diagnostico/,mx,conversion,solicitar diagnóstico Pixvo,diagnóstico de crecimiento digital,transactional,BOFU,lead_form,P1,lead,/mx/sistema-crecimiento-digital/,published,diagnosis-form,"index,follow",Solicitar diagnóstico de crecimiento digital | Pixvo — México,Solicita un diagnóstico de crecimiento digital
/ar/solicitar-diagnostico/,ar,conversion,solicitar diagnóstico Pixvo,diagnóstico de crecimiento digital,transactional,BOFU,lead_form,P1,lead,/ar/sistema-crecimiento-digital/,published,diagnosis-form,"index,follow",Solicitar diagnóstico de crecimiento digital | Pixvo — Argentina,Solicita un diagnóstico de crecimiento digital
/es/solicitar-diagnostico/,es,conversion,solicitar diagnóstico Pixvo,diagnóstico de crecimiento digital,transactional,BOFU,lead_form,P1,lead,/es/sistema-crecimiento-digital/,published,diagnosis-form,"index,follow",Solicitar diagnóstico de crecimiento digital | Pixvo — España,Solicita un diagnóstico de crecimiento digital
/mx/nosotros/,mx,brand,sobre Pixvo,equipo Pixvo,navigational,BOFU,about,P3,contact,/mx/,published,about,"index,follow",Sobre Pixvo Growth System — México,Un sistema operado con criterio y supervisión humana
/ar/nosotros/,ar,brand,sobre Pixvo,equipo Pixvo,navigational,BOFU,about,P3,contact,/ar/,published,about,"index,follow",Sobre Pixvo Growth System — Argentina,Un sistema operado con criterio y supervisión humana
/es/nosotros/,es,brand,sobre Pixvo,equipo Pixvo,navigational,BOFU,about,P3,contact,/es/,published,about,"index,follow",Sobre Pixvo Growth System — España,Un sistema operado con criterio y supervisión humana
/mx/contacto/,mx,brand,contacto Pixvo,contactar Pixvo,navigational,BOFU,contact,P3,contact,/mx/,published,contact,"index,follow",Contacto Pixvo — México,Cuéntanos qué está frenando tu sistema comercial
/ar/contacto/,ar,brand,contacto Pixvo,contactar Pixvo,navigational,BOFU,contact,P3,contact,/ar/,published,contact,"index,follow",Contacto Pixvo — Argentina,Cuéntanos qué está frenando tu sistema comercial
/es/contacto/,es,brand,contacto Pixvo,contactar Pixvo,navigational,BOFU,contact,P3,contact,/es/,published,contact,"index,follow",Contacto Pixvo — España,Cuéntanos qué está frenando tu sistema comercial
/mx/soluciones/seo-para-pymes/,mx,seo,SEO para PyMEs,consultoría SEO para PyMEs; servicio SEO para empresas,transactional,BOFU,solution,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,solution:seo-para-pymes,"index,follow",SEO para PyMEs orientado a captar clientes | Pixvo — México,SEO para PyMEs orientado a captar oportunidades comerciales
/ar/soluciones/seo-para-pymes/,ar,seo,SEO para PyMEs,consultoría SEO para PyMEs; servicio SEO para empresas,transactional,BOFU,solution,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,solution:seo-para-pymes,"index,follow",SEO para PyMEs orientado a captar clientes | Pixvo — Argentina,SEO para PyMEs orientado a captar oportunidades comerciales
/es/soluciones/seo-para-pymes/,es,seo,SEO para PyMEs,consultoría SEO para PyMEs; servicio SEO para empresas,transactional,BOFU,solution,P1,diagnosis,/es/sistema-crecimiento-digital/,published,solution:seo-para-pymes,"index,follow",SEO para PyMEs orientado a captar clientes | Pixvo — España,SEO para PyMEs orientado a captar oportunidades comerciales
/mx/soluciones/seo-wordpress/,mx,seo,SEO para WordPress,consultoría SEO WordPress; optimización SEO WordPress,transactional,BOFU,solution,P2,diagnosis,/mx/soluciones/seo-para-pymes/,published,solution:seo-wordpress,"index,follow",SEO para WordPress | Pixvo — México,"SEO para WordPress: rastreo, indexación y arquitectura"
/ar/soluciones/seo-wordpress/,ar,seo,SEO para WordPress,consultoría SEO WordPress; optimización SEO WordPress,transactional,BOFU,solution,P2,diagnosis,/ar/soluciones/seo-para-pymes/,published,solution:seo-wordpress,"index,follow",SEO para WordPress | Pixvo — Argentina,"SEO para WordPress: rastreo, indexación y arquitectura"
/es/soluciones/seo-wordpress/,es,seo,SEO para WordPress,consultoría SEO WordPress; optimización SEO WordPress,transactional,BOFU,solution,P2,diagnosis,/es/soluciones/seo-para-pymes/,published,solution:seo-wordpress,"index,follow",SEO para WordPress | Pixvo — España,"SEO para WordPress: rastreo, indexación y arquitectura"
/mx/soluciones/contenido-seo/,mx,seo,servicio de contenido SEO,estrategia de contenidos SEO; creación de landings SEO,transactional,BOFU,solution,P2,diagnosis,/mx/soluciones/seo-para-pymes/,published,solution:contenido-seo,"index,follow",Servicio de contenido SEO | Pixvo — México,Contenido SEO diseñado para atraer y convertir
/ar/soluciones/contenido-seo/,ar,seo,servicio de contenido SEO,estrategia de contenidos SEO; creación de landings SEO,transactional,BOFU,solution,P2,diagnosis,/ar/soluciones/seo-para-pymes/,published,solution:contenido-seo,"index,follow",Servicio de contenido SEO | Pixvo — Argentina,Contenido SEO diseñado para atraer y convertir
/es/soluciones/contenido-seo/,es,seo,servicio de contenido SEO,estrategia de contenidos SEO; creación de landings SEO,transactional,BOFU,solution,P2,diagnosis,/es/soluciones/seo-para-pymes/,published,solution:contenido-seo,"index,follow",Servicio de contenido SEO | Pixvo — España,Contenido SEO diseñado para atraer y convertir
/mx/soluciones/automatizacion-de-procesos/,mx,automation,automatización de procesos para PyMEs,automatización empresarial; automatización con n8n,transactional,BOFU,solution,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,solution:automatizacion-de-procesos,"index,follow",Automatización de procesos para PyMEs | Pixvo — México,Automatización de procesos para PyMEs
/ar/soluciones/automatizacion-de-procesos/,ar,automation,automatización de procesos para PyMEs,automatización empresarial; automatización con n8n,transactional,BOFU,solution,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,solution:automatizacion-de-procesos,"index,follow",Automatización de procesos para PyMEs | Pixvo — Argentina,Automatización de procesos para PyMEs
/es/soluciones/automatizacion-de-procesos/,es,automation,automatización de procesos para PyMEs,automatización empresarial; automatización con n8n,transactional,BOFU,solution,P1,diagnosis,/es/sistema-crecimiento-digital/,published,solution:automatizacion-de-procesos,"index,follow",Automatización de procesos para PyMEs | Pixvo — España,Automatización de procesos para PyMEs
/mx/soluciones/automatizacion-de-marketing/,mx,automation,automatización de marketing para PyMEs,marketing automation; automatizar marketing,transactional,BOFU,solution,P2,diagnosis,/mx/soluciones/automatizacion-de-procesos/,published,solution:automatizacion-de-marketing,"index,follow",Automatización de marketing | Pixvo — México,Automatización de marketing para PyMEs
/ar/soluciones/automatizacion-de-marketing/,ar,automation,automatización de marketing para PyMEs,marketing automation; automatizar marketing,transactional,BOFU,solution,P2,diagnosis,/ar/soluciones/automatizacion-de-procesos/,published,solution:automatizacion-de-marketing,"index,follow",Automatización de marketing | Pixvo — Argentina,Automatización de marketing para PyMEs
/es/soluciones/automatizacion-de-marketing/,es,automation,automatización de marketing para PyMEs,marketing automation; automatizar marketing,transactional,BOFU,solution,P2,diagnosis,/es/soluciones/automatizacion-de-procesos/,published,solution:automatizacion-de-marketing,"index,follow",Automatización de marketing | Pixvo — España,Automatización de marketing para PyMEs
/mx/soluciones/seguimiento-de-leads/,mx,leads,automatización del seguimiento de leads,seguimiento de leads; automatizar prospectos,transactional,BOFU,solution,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,solution:seguimiento-de-leads,"index,follow",Automatización del seguimiento de leads | Pixvo — México,Automatización y seguimiento de leads para no perder oportunidades
/ar/soluciones/seguimiento-de-leads/,ar,leads,automatización del seguimiento de leads,seguimiento de leads; automatizar prospectos,transactional,BOFU,solution,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,solution:seguimiento-de-leads,"index,follow",Automatización del seguimiento de leads | Pixvo — Argentina,Automatización y seguimiento de leads para no perder oportunidades
/es/soluciones/seguimiento-de-leads/,es,leads,automatización del seguimiento de leads,seguimiento de leads; automatizar prospectos,transactional,BOFU,solution,P1,diagnosis,/es/sistema-crecimiento-digital/,published,solution:seguimiento-de-leads,"index,follow",Automatización del seguimiento de leads | Pixvo — España,Automatización y seguimiento de leads para no perder oportunidades
/mx/soluciones/analitica-digital/,mx,analytics,consultoría de analítica digital,analítica web para empresas; GA4 para empresas,transactional,BOFU,solution,P2,audit,/mx/sistema-crecimiento-digital/,published,solution:analitica-digital,"index,follow",Consultoría de analítica digital | Pixvo — México,"Analítica digital para tomar decisiones, no acumular informes"
/ar/soluciones/analitica-digital/,ar,analytics,consultoría de analítica digital,analítica web para empresas; GA4 para empresas,transactional,BOFU,solution,P2,audit,/ar/sistema-crecimiento-digital/,published,solution:analitica-digital,"index,follow",Consultoría de analítica digital | Pixvo — Argentina,"Analítica digital para tomar decisiones, no acumular informes"
