source,destination,relationship,anchor,priority,market
https://pixvo.tech/mx/,https://pixvo.tech/mx/sistema-crecimiento-digital/,parent_to_child,Sistema de crecimiento,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/seo-para-pymes/,internal,SEO para PyMEs,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/auditoria-crecimiento-digital/,internal,Auditoría,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/planes/,conversion,Planes,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/casos-de-exito/,internal,Casos de éxito,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/recursos/,internal,Recursos,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/blog/,parent_to_child,Blog,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/solicitar-diagnostico/,conversion,Solicitar diagnóstico,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/,child_to_parent,Inicio,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/leads-no-convierten/,internal,¿Por qué tus leads no se convierten en clientes?,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/reducir-tareas-manuales/,internal,Automatiza tareas repetitivas que frenan a tu equipo,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/web-no-convierte/,internal,"Mi web recibe visitas, pero no vende ni genera oportunidades",P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/dependencia-publicidad-paga/,internal,Reduce la dependencia de la publicidad pagada,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/medir-resultados-marketing/,internal,Mide qué acciones generan oportunidades,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/problemas/conectar-marketing-y-ventas/,internal,Conecta marketing y ventas sin perder contexto,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/seo-para-pymes/,internal,SEO para PyMEs orientado a captar clientes,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/seo-wordpress/,internal,SEO para WordPress,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/contenido-seo/,internal,Servicio de contenido SEO,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/automatizacion-de-procesos/,internal,Automatización de procesos para PyMEs,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/automatizacion-de-marketing/,internal,Automatización de marketing,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/seguimiento-de-leads/,internal,Automatización del seguimiento de leads,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/analitica-digital/,internal,Consultoría de analítica digital,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/optimizacion-wordpress/,internal,Optimización WordPress para empresas,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/optimizacion-de-conversion/,internal,Optimización de conversión web,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/casos-de-exito/,internal,Revisar casos y límites de evidencia,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/recursos/,internal,Comparar alternativas,P2,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/planes/,conversion,Ver planes y precios,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/automatizacion-de-procesos/,internal,Automatización,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/soluciones/seguimiento-de-leads/,internal,Seguimiento de leads,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/nosotros/,parent_to_child,Nosotros,P3,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/contacto/,parent_to_child,Contacto,P3,mx
https://pixvo.tech/mx/,https://pixvo.tech/mx/,internal,México,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/ar/,internal,Argentina,P1,mx
https://pixvo.tech/mx/,https://pixvo.tech/es/,internal,España,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/sistema-crecimiento-digital/,internal,Sistema de crecimiento,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/soluciones/seo-para-pymes/,parent_to_child,SEO para PyMEs,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/auditoria-crecimiento-digital/,parent_to_child,Auditoría,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/planes/,parent_to_child,Planes,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/casos-de-exito/,parent_to_child,Casos de éxito,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/recursos/,parent_to_child,Recursos,P2,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/blog/,internal,Blog,P2,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/solicitar-diagnostico/,parent_to_child,Solicitar diagnóstico,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/,internal,Inicio,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/,child_to_parent,México,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/leads-no-convierten/,internal,¿Por qué tus leads no se convierten en clientes?,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/reducir-tareas-manuales/,internal,Automatiza tareas repetitivas que frenan a tu equipo,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/web-no-convierte/,internal,"Mi web recibe visitas, pero no vende ni genera oportunidades",P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/dependencia-publicidad-paga/,internal,Reduce la dependencia de la publicidad pagada,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/medir-resultados-marketing/,internal,Mide qué acciones generan oportunidades,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/conectar-marketing-y-ventas/,internal,Conecta marketing y ventas sin perder contexto,P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/wordpress-lento/,internal,"WordPress lento: rendimiento, estabilidad y conversión",P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/problemas/contenido-no-genera-clientes/,internal,"Contenido que no genera clientes: intención, rutas y conversión",P1,mx
https://pixvo.tech/mx/sistema-crecimiento-digital/,https://pixvo.tech/mx/soluciones/seo-para-pymes/,parent_to_child,SEO para PyMEs orientado a captar clientes,P1,mx
