old_url,detected_source,current_http_status,current_topic,equivalent_new_url,action,redirect_target,reason,risk,validation_required
/servicios,inventario y redirects del proyecto,404,Índice de servicios anterior,/mx/sistema-crecimiento-digital/,301,/mx/sistema-crecimiento-digital/,La oferta se consolidó en el hub comercial,medium,no
/servicios/seo,inventario y redirects del proyecto,404,Servicio SEO anterior,/mx/soluciones/seo-para-pymes/,301,/mx/soluciones/seo-para-pymes/,La intención se consolidó en la money page de SEO para PyMEs,low,no
/servicios/automatizacion,inventario y redirects del proyecto,404,Automatización anterior,/mx/soluciones/automatizacion-de-procesos/,301,/mx/soluciones/automatizacion-de-procesos/,La intención se consolidó en automatización de procesos,low,no
/proyectos,inventario y redirects del proyecto,301→403,Índice de proyectos anterior,/mx/casos-de-exito/,301,/mx/casos-de-exito/,Los casos verificables tienen un índice localizado propio,low,no
/proyectos/microcuotas,inventario y redirects del proyecto,404,Proyecto Microcuotas,/mx/casos-de-exito/microcuotas/,301,/mx/casos-de-exito/microcuotas/,El caso consolidado conserva evidencia y limitaciones,low,no
/proyectos/sanidad-web,inventario y redirects del proyecto,404,Proyecto Sanidad Web,/mx/casos-de-exito/sanidad-web/,301,/mx/casos-de-exito/sanidad-web/,El caso consolidado conserva la transformación funcional,low,no
/proyectos/paola-informa,inventario y redirects del proyecto,404,Proyecto Paola Informa,/mx/casos-de-exito/paola-informa/,301,/mx/casos-de-exito/paola-informa/,El caso consolidado conserva la transformación funcional,low,no
/nosotros,inventario y redirects del proyecto,404,Página corporativa anterior,/mx/nosotros/,301,/mx/nosotros/,La página corporativa actual está localizada,low,no
/contacto,inventario y redirects del proyecto,404,Contacto anterior,/mx/contacto/,301,/mx/contacto/,El contacto actual está localizado,low,no
/politica-de-privacidad,inventario y redirects del proyecto,404,Privacidad anterior,/legal/politica-de-privacidad/,301,/legal/politica-de-privacidad/,La URL legal se normalizó,low,no
/legal/privacidad,inventario y redirects del proyecto,404,Alias de privacidad,/legal/politica-de-privacidad/,301,/legal/politica-de-privacidad/,La URL legal se normalizó,low,no
/legal/cookies,inventario y redirects del proyecto,404,Alias de cookies,/legal/politica-de-cookies/,301,/legal/politica-de-cookies/,La URL legal se normalizó,low,no
/mx/soluciones/c/,inventario y redirects del proyecto,404,Slug CRO incompleto,/mx/soluciones/optimizacion-de-conversion/,301,/mx/soluciones/optimizacion-de-conversion/,La money page de CRO es el destino propietario,low,no
/official-site/,auditoría pública previa y verificación HTTP 2026-08-30,404,Contenido ajeno asociado a casino/apuestas,,410,,No pertenece a Pixvo y no tiene sustituto legítimo,high,yes: verificar después del deploy y solicitar retirada en GSC si sigue indexada
"/wp-login.php, /wp-admin/, /wp-json/, /xmlrpc.php, /wp-content/",comprobación pública 2026-08-30,404,Endpoints WordPress legacy,,404,,WordPress no forma parte de la aplicación Vite activa,high,yes: confirmar filesystem y bases en hPanel
/servicios/desarrollo-web/,antecedentes de auditoría; no enumerables desde el repo,unknown,Desarrollo web anterior,,MANUAL_REVIEW,,Optimización WordPress no es una sustitución exacta; requiere GSC/backlinks y oferta histórica.,medium,yes: export WordPress + GSC + backlinks
/servicios/aplicaciones/,antecedentes de auditoría; no enumerables desde el repo,unknown,Aplicaciones a medida,,MANUAL_REVIEW,,No existe una oferta independiente equivalente publicada.,high,yes: export WordPress + GSC + backlinks
/servicios/google-ads/,antecedentes de auditoría; no enumerables desde el repo,unknown,Servicio Google Ads anterior,,MANUAL_REVIEW,,Una comparativa editorial no sustituye un servicio de publicidad.,high,yes: export WordPress + GSC + backlinks
/servicios/meta-ads/,antecedentes de auditoría; no enumerables desde el repo,unknown,Servicio Meta Ads anterior,,MANUAL_REVIEW,,No existe una oferta independiente equivalente publicada.,high,yes: export WordPress + GSC + backlinks
/referidos/,antecedentes de auditoría; no enumerables desde el repo,unknown,Programa de referidos anterior,,MANUAL_REVIEW,,El diagnóstico no sustituye la intención de un programa de referidos.,high,yes: export WordPress + GSC + backlinks
URLs antiguas de casino/apuestas no enumeradas,antecedentes de auditoría; no enumerables desde el repo,unknown,Spam histórico,,MANUAL_REVIEW,,"Faltan export de URLs, backlinks y datos de Search Console para enumerarlas sin omisiones",high,yes: export WordPress + GSC + backlinks
Publicaciones antiguas no presentes en el repositorio,antecedentes de auditoría; no enumerables desde el repo,unknown,Contenido editorial legacy,,MANUAL_REVIEW,,Requieren export de WordPress y validación de tráfico/backlinks antes de decidir,high,yes: export WordPress + GSC + backlinks
