source_url,destination_url,relationship,cluster,funnel_role,placement,status
/{pais}/,/{pais}/sistema-crecimiento-digital/,parent-to-hub,growth-system,BOFU,hero,published
/{pais}/,/{pais}/planes/,home-to-pricing,conversion,BOFU,content,published
/{pais}/,/{pais}/solicitar-diagnostico/,home-to-conversion,conversion,BOFU,cta,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/seo-para-pymes/,hub-to-solution,seo,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/seo-wordpress/,hub-to-solution,seo,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/contenido-seo/,hub-to-solution,seo,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/automatizacion-de-procesos/,hub-to-solution,automation,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/automatizacion-de-marketing/,hub-to-solution,automation,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/seguimiento-de-leads/,hub-to-solution,leads,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/analitica-digital/,hub-to-solution,analytics,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/optimizacion-wordpress/,hub-to-solution,wordpress,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/soluciones/optimizacion-de-conversion/,hub-to-solution,cro,BOFU,solution-grid,published
/{pais}/sistema-crecimiento-digital/,/{pais}/auditoria-crecimiento-digital/,hub-to-conversion,conversion,BOFU,content,published
/{pais}/sistema-crecimiento-digital/,/{pais}/planes/,hub-to-conversion,conversion,BOFU,content,published
/{pais}/sistema-crecimiento-digital/,/{pais}/solicitar-diagnostico/,hub-to-conversion,conversion,BOFU,cta,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/soluciones/contenido-seo/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/soluciones/seo-wordpress/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/problemas/dependencia-publicidad-paga/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/problemas/contenido-no-genera-clientes/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/recursos/seo-vs-google-ads/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seo-para-pymes/,/{pais}/recursos/agencia-seo-vs-consultor-seo/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seo-wordpress/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/seo-wordpress/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/seo-wordpress/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/seo-wordpress/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/seo-wordpress/,/{pais}/soluciones/seo-para-pymes/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/seo-wordpress/,/{pais}/soluciones/contenido-seo/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/seo-wordpress/,/{pais}/soluciones/optimizacion-wordpress/,related-solution,wordpress,BOFU,related-solutions,published
/{pais}/soluciones/seo-wordpress/,/{pais}/problemas/wordpress-lento/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/seo-wordpress/,/{pais}/recursos/seo-mensual-vs-auditoria/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seo-wordpress/,/{pais}/recursos/seo-vs-sistema-de-crecimiento/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seo-wordpress/,/{pais}/casos-de-exito/sanidad-web/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/contenido-seo/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/contenido-seo/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/contenido-seo/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/contenido-seo/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/contenido-seo/,/{pais}/soluciones/seo-para-pymes/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/contenido-seo/,/{pais}/soluciones/optimizacion-de-conversion/,related-solution,cro,BOFU,related-solutions,published
/{pais}/soluciones/contenido-seo/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/contenido-seo/,/{pais}/problemas/dependencia-publicidad-paga/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/contenido-seo/,/{pais}/problemas/contenido-no-genera-clientes/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/contenido-seo/,/{pais}/recursos/seo-vs-sistema-de-crecimiento/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/contenido-seo/,/{pais}/recursos/seo-mensual-vs-auditoria/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/contenido-seo/,/{pais}/casos-de-exito/sanidad-web/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/soluciones/seguimiento-de-leads/,related-solution,leads,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/soluciones/automatizacion-de-marketing/,related-solution,automation,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/problemas/reducir-tareas-manuales/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/recursos/n8n-vs-zapier/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/recursos/crm-vs-automatizacion-de-leads/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/casos-de-exito/microcuotas/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/automatizacion-de-procesos/,/{pais}/casos-de-exito/hospital-metropolitano/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/soluciones/seguimiento-de-leads/,related-solution,leads,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/soluciones/contenido-seo/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/problemas/conectar-marketing-y-ventas/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/recursos/crm-vs-automatizacion-de-leads/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/automatizacion-de-marketing/,/{pais}/recursos/n8n-vs-zapier/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/soluciones/automatizacion-de-procesos/,related-solution,automation,BOFU,related-solutions,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/soluciones/optimizacion-de-conversion/,related-solution,cro,BOFU,related-solutions,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/problemas/leads-no-convierten/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/problemas/reducir-tareas-manuales/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/recursos/crm-vs-automatizacion-de-leads/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/recursos/n8n-vs-zapier/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/seguimiento-de-leads/,/{pais}/casos-de-exito/microcuotas/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/analitica-digital/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/analitica-digital/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/analitica-digital/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
